track	disc	title	artist	date	url	ll-fans
5	1	夏色えがおで1,2,Jump!	μ's	2011-08-24	https://www.youtube.com/watch?v=a8dsz4dRnU0	11
10	1	Oh,Love＆Peace!	μ's	2012-09-05	https://www.youtube.com/watch?v=9cdukRjlaJQ	33
